City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,shancheng,34.7953,116.0817,32.92,100,100,4.25,CN,1705424092
148,anatuya,-28.4606,-62.8347,109.56,25,6,12.57,AR,1705424093
149,port mathurin,-19.6833,63.4167,82.87,81,100,24.02,MU,1705424093
150,show low,34.2542,-110.0298,40.01,64,0,1.99,US,1705424093
151,male,4.1748,73.5089,80.55,83,20,8.05,MV,1705423882
152,nova sintra,14.8667,-24.7167,71.46,68,100,18.12,CV,1705424093
153,caspe,41.234,-0.0395,61.59,70,100,0.43,ES,1705424094
154,illizi,26.4833,8.4667,75.0,10,6,5.21,DZ,1705424094
155,sona,45.4388,10.8255,41.49,81,30,1.25,IT,1705424094
156,utrik,11.2278,169.8474,78.94,75,100,17.16,MH,1705424094
157,ayios konstandinos,38.6333,21.4,51.1,90,10,0.87,GR,1705424094
158,uturoa,-16.7333,-151.4333,80.98,81,92,20.15,PF,1705424095
159,west island,-12.1568,96.8225,82.38,89,63,8.05,CC,1705424095
160,morondava,-20.2833,44.2833,83.64,77,99,9.46,MG,1705424095
161,tabou,4.423,-7.3528,83.44,69,8,10.18,CI,1705424095
162,bischofshofen,47.4167,13.2167,28.69,88,71,4.54,AT,1705424096
163,isla mujeres,21.2311,-86.731,77.05,76,87,3.94,MX,1705424096
164,port alfred,-33.5906,26.891,71.19,84,87,1.99,ZA,1705424062
165,bonthe,7.5264,-12.505,85.89,63,0,12.35,SL,1705424097
166,qarazhal,48.0078,70.7903,-1.77,84,83,6.02,KZ,1705424097
167,lubartow,51.4603,22.6095,21.63,93,53,5.44,PL,1705424097
168,halwan,29.8414,31.3008,63.36,35,11,4.52,EG,1705424018
169,saint joseph,39.7686,-94.8466,1.56,64,0,10.36,US,1705424098
170,hithadhoo,-0.6,73.0833,82.81,71,3,8.95,MV,1705424098
171,avarua,-21.2078,-159.775,78.85,83,75,11.5,CK,1705424098
172,santyoku,37.4406,129.1708,38.57,37,74,8.77,KR,1705424099
173,aras-asan,8.8908,126.3033,77.85,86,34,11.41,PH,1705424099
174,port douglas,-16.4833,145.4667,77.59,95,100,3.13,AU,1705424099
175,dul'durga,50.6761,113.5931,7.77,63,87,20.24,RU,1705424099
176,muisne,0.6,-80.0333,79.66,83,96,9.06,EC,1705424100
177,kalaleh,37.3807,55.4916,46.0,87,0,0.0,IR,1705424100
178,talnakh,69.4865,88.3972,-30.8,97,100,7.43,RU,1705424100
179,saint-leu,-21.15,55.2833,79.63,99,40,12.82,RE,1705424100
180,xichang,27.8964,102.2634,45.27,59,0,0.76,CN,1705424101
181,thatta,24.7475,67.9235,70.3,82,13,7.72,PK,1705424101
182,tazacorte,28.629,-17.9293,76.17,86,20,31.07,ES,1705424101
183,selfoss,63.9331,-20.9971,20.05,50,0,13.98,IS,1705424102
184,benguela,-12.5763,13.4055,79.32,73,100,4.63,AO,1705424102
185,dudinka,69.4058,86.1778,-30.32,97,97,8.99,RU,1705424102
186,dunhua,43.3725,128.2425,8.92,79,8,4.68,CN,1705424103
187,kangding,30.0513,101.9603,33.71,76,81,2.51,CN,1705424104
188,pacific grove,36.6177,-121.9166,54.64,92,0,5.01,US,1705424105
189,machico,32.7,-16.7667,70.43,81,40,6.91,PT,1705424105
190,bhatapara,21.7333,81.9333,65.41,41,0,4.54,IN,1705424106
191,hailar,49.2,119.7,-14.84,99,67,4.81,CN,1705424106
192,liberia,6.5,-9.5,95.7,27,0,3.69,LR,1705424108
193,vieux fort,13.7167,-60.95,83.55,86,75,19.57,LC,1705424109
194,saint-francois,46.4154,3.9054,33.66,100,100,5.75,FR,1705424109
195,marsa alam,25.0757,34.8918,66.92,61,0,12.1,EG,1705424110
196,kailua-kona,19.6406,-155.9956,75.16,92,100,25.32,US,1705423987
197,kittila,67.6647,24.8936,0.61,85,100,6.91,FI,1705424112
198,um jar al gharbiyya,13.8013,32.4078,76.84,14,99,12.21,SD,1705424113
199,crane,31.3974,-102.3501,20.3,36,1,2.59,US,1705424113
200,ta`u,-14.2336,-169.5144,80.11,80,100,9.06,AS,1705424113
201,hermanus,-34.4187,19.2345,68.2,71,42,15.61,ZA,1705424062
202,northam,51.0333,-4.2167,38.39,76,94,4.0,GB,1705424114
203,olonkinbyen,70.9221,-8.7187,24.96,73,94,25.46,SJ,1705424114
204,colonia,50.9333,6.95,32.97,67,0,4.61,DE,1705423857
205,ad dabbah,18.05,30.95,66.38,19,92,10.69,SD,1705424115
206,ballina,-28.8667,153.5667,73.78,89,36,1.79,AU,1705424115
